text,label,count
Roi,PER,1343
Bruxelles,LOC,897
Belgique,LOC,748
Arlon,LOC,733
M.,PER,729
H,PER,594
Gouvernement,LOC,505
Paris,LOC,456
I,LOC,448
Etat,LOC,436
Liège,LOC,393
Londres,LOC,385
fr,LOC,379
Allemagne,LOC,320
Conseil,ORG,309
Reuter,MISC,307
Luxembourg,LOC,301
A. F. P.,PER,263
P,LOC,262
Athus,PER,257
Namur,LOC,255
Anne,PER,248
Belga,LOC,243
Journal Parlé,PER,235
France,LOC,233
A,LOC,231
Belges,LOC,222
Etats-Unis,LOC,219
Ob,LOC,219
Chambre,ORG,205
U,ORG,205
Anvers,LOC,202
Clive,PER,198
Horloge,PER,188
Parlement,ORG,187
Rome,LOC,187
Pâques,MISC,177
M. Spaak,PER,172
Bastogne,LOC,164
Concert,PER,158
Dieu,MISC,158
P. S. C.,PER,157
la France,LOC,155
Angleterre,LOC,150
AVENIR,MISC,148
Libramont,LOC,148
Virton,LOC,143
M,PER,141
B,LOC,140
Interruption,PER,137
Italie,LOC,124
Europe,LOC,122
S,LOC,121
Avenir du Luxembourg,ORG,121
Moscou,LOC,119
Grande-Bretagne,LOC,118
Bertrix,PER,116
Informations,PER,116
Suisse,LOC,115
Journal parlé,MISC,115
Berlin,LOC,113
Halanzy,PER,112
Allemands,LOC,112
l'Europe,LOC,111
de Belgique,LOC,108
Léopold III,PER,104
U,LOC,103
Charleroi,LOC,98
Russie,LOC,98
Hollande,LOC,98
Gand,LOC,96
M. Van Zeeland,PER,96
Belge,LOC,96
Musique,PER,94
Honorine,PER,93
Monsieur,PER,93
Houffalize,LOC,92
Français,LOC,91
Bouillon,LOC,91
Antoine,PER,91
Bulletin,LOC,91
Washington,LOC,90
Souverain,LOC,89
Davidson,PER,88
A. P. P.,PER,87
Gould,PER,87
Noël,MISC,86
II,MISC,86
Wallonie,LOC,85
PAYS,ORG,84
Marche,PER,84
Chambres,LOC,82
Vielsalm,LOC,81
ca,LOC,80
Anderlecht,LOC,79
Premier Ministre,PER,78
Président,PER,78
OUI,MISC,78
Prague,LOC,75
•,MISC,75
Racing,ORG,75
Antoinette,MISC,75
de France,LOC,75
Albert,PER,74
Congo,LOC,74
Jean,PER,73
ue,ORG,73
Genève,LOC,73
Culture physique,MISC,73
Olympic,LOC,72
Standard,ORG,71
Gérard,PER,70
Lundi,PER,70
P. S. C,PER,70
Tilleur,PER,69
Neufchâteau,LOC,67
Fin des émissions,MISC,67
pièce,PER,67
Janvier,PER,66
Vielsalm,PER,66
Bornai,LOC,66
Florenville,LOC,66
Spaak,PER,66
Commission,ORG,65
St-Hubert,LOC,65
Hitler,PER,64
Musson,PER,64
Disques,PER,63
Coup d'œil,MISC,63
Autriche,LOC,62
Christ,PER,62
Louvain,LOC,62
Publicité,ORG,61
Staline,PER,61
Kremlin,LOC,61
Bruges,LOC,61
Hector,PER,60
Comité,ORG,60
LUXEMBOURG,MISC,60
La Roche,LOC,60
M. de Blamont,PER,60
Not,LOC,60
Pays-Bas,LOC,60
Luce,PER,60
Hilversum I,PER,59
Messancy,LOC,59
CYCLISME,MISC,59
Tél,LOC,59
Parisien,LOC,59
Sénat,ORG,58
m.,PER,57
Aye,MISC,57
Lambert,PER,57
Adj,PER,57
André,MISC,56
New-York,LOC,55
Cim,LOC,54
Joseph,PER,54
Barvaux,LOC,54
Constitution,ORG,54
Devèze,LOC,54
Louis,PER,53
Russes,LOC,53
Fouches,LOC,53
Yougoslavie,ORG,53
Informations,LOC,53
Léopold,PER,52
Pape,PER,52
E,LOC,52
Bruxelles I,PER,52
M. Eyskens,PER,51
Centre,LOC,51
Ardenne,LOC,51
Warmifontaine,PER,51
Finances,MISC,50
J,LOC,50
Mathieu,PER,50
Roumanie,LOC,50
St-Mard,LOC,50
Simon,PER,50
Grèce,LOC,50
La Haye,LOC,49
l'Italie,LOC,49
Georges,MISC,49
Chine,LOC,48
Bénélux,LOC,48
François,PER,48
Mardi,LOC,48
MM.,MISC,48
Hotton,LOC,48
F,LOC,48
COMMUNISTES,ORG,48
Wartique,LOC,48
Kominform,LOC,47
Belg,LOC,47
El,LOC,47
Régent,ORG,47
Hainaut,LOC,47
Malines,LOC,47
Alliés,MISC,47
Votes valables,MISC,47
ABONNEMENTS,ORG,46
Nation,LOC,46
la Chine,LOC,46
Nice,LOC,46
™,MISC,46
Léglise,LOC,46
Saint-Hubert,PER,46
Pierre,MISC,46
ministre des Affaires étrangères,ORG,46
Mons,LOC,46
Verviers,LOC,46
Canada,LOC,46
C,MISC,46
Nassogne,LOC,46
Patrie,LOC,46
Athènes,LOC,45
Nothomb,PER,45
Stockem,PER,45
Ethe,PER,45
F. P.,PER,45
Anglais,LOC,44
Mozart,PER,44
Marbehan,LOC,44
Soleil,LOC,44
Italiens,LOC,44
Semois,LOC,44
TJn,LOC,44
Aubange,MISC,44
Déportés,LOC,43
Américains,LOC,43
Eglise,LOC,43
Année Sainte,MISC,43
Beethoven,PER,43
Reine,PER,43
Martelange,LOC,43
Ostende,LOC,43
Erezée,ORG,43
Van Zeeland,PER,43
Paliseul,LOC,43
Paul,PER,42
Vienne,LOC,42
Bernard,MISC,42
Ardennes,LOC,42
VERTICALEMENT,ORG,42
Virton,PER,42
Aubange,PER,42
Cert,PER,42
Mercredi,PER,42
Résistance,MISC,42
Wallons,LOC,42
Chinois,LOC,42
Schaerbeek,LOC,42
Truman,PER,41
V,PER,41
p. c.,PER,41
Rochefort,LOC,41
Monarchie,MISC,41
Inde,LOC,40
Tintigny,LOC,40
Classes Moyennes,ORG,40
Radio Catholique,ORG,40
gr,LOC,40
botte,LOC,40
Jamoigne,LOC,40
Colonie,LOC,39
roi Léopold,PER,39
At,MISC,39
Martin,PER,39
Neufchâteau,PER,39
Bouillon,PER,39
Liégeois,LOC,39
Sottens,LOC,39
LIEGE,ORG,39
Madame,PER,39
Annonce de reprise,PER,39
Direction,LOC,38
ANNEE,MISC,38
Tchécoslovaquie,LOC,38
Turin,LOC,38
Hongrie,LOC,38
province de Luxembourg,LOC,38
Intermède,LOC,38
Congo Belge,ORG,38
ANNONCES,ORG,38
Moniteur,LOC,38
Rossart,PER,38
Rédaction,LOC,37
Publicité,LOC,37
Formose,LOC,37
Milan,LOC,37
Lune,LOC,37
Jules,PER,37
Pologne,LOC,37
Muno,PER,37
DECKER,MISC,37
Nord,LOC,37
Nicolas,MISC,37
Herbeumont,LOC,37
Jeunesse,MISC,36
ARLON,LOC,36
Grand-Duché de Luxembourg,LOC,36
Bruxellois,LOC,36
Arlonais,LOC,36
M. Devèze,PER,36
Colles,LOC,36
Opéras,LOC,35
II,LOC,35
Etienne,LOC,35
Peuple,MISC,35
Sir,MISC,35
TELEPHONES,MISC,34
K,MISC,34
Administration communale,ORG,34
Afrique,LOC,34
VENDRE,ORG,34
Jean Guern,PER,34
Halls Louis,PER,34
Si,MISC,34
Secrétariat,LOC,34
MUS,MISC,34
Australie,LOC,34
Guillaume,PER,34
Dimanche,PER,34
Hôtel de ville,LOC,34
HP,ORG,34
10 fr,ORG,34
Darjiling,PER,34
Pelham,PER,34
Francfort,LOC,33
Lille,LOC,33
Année Sainte,LOC,33
Greisch,PER,33
Gantoise,LOC,33
Ah!,MISC,33
Gouvy,PER,33
Flandre,LOC,33
Beurre,LOC,33
Musique de danse,MISC,33
Cabinet,MISC,33
Izel,LOC,33
Coppi,LOC,33
Nerea,PER,33
Bavière,LOC,32
U. R.,PER,32
Espagne,LOC,32
Bertrix,LOC,32
Tournai,LOC,32
Escaut,LOC,32
Bastien,PER,32
net,MISC,32
Cour,ORG,32
U. R. S. S.,PER,32
Nation Belge,ORG,32
Marcel,PER,32
FOOTBALL,ORG,32
Amérique,LOC,32
Oppagne,LOC,32
Etalle,LOC,32
Collège,LOC,32
Samedi,LOC,32
Clive,MISC,32
Météorologie Nationale,ORG,32
S,PER,31
MOTS,MISC,31
St-Georges,LOC,31
Luxembourgeois,LOC,31
M. Van Cauwelaert,PER,31
Vietnam,LOC,31
Van Steenbergen,PER,31
Gouvy,LOC,31
Driessen,LOC,31
Vilvorde,LOC,31
Huylebroeck,PER,31
Spaak,LOC,31
Ouest,LOC,30
Washington,PER,30
Henri,PER,30
St-Louis,LOC,30
fr,PER,30
René,PER,30
Aubange,LOC,30
Saint-,LOC,30
R.N.B.,LOC,30
Villers,LOC,30
Joris,PER,30
Ourthe,LOC,30
Blamont,LOC,30
Indonésie,LOC,30
ministre de l'Intérieur,ORG,30
12 fr,ORG,30
Habay,PER,30
Société,ORG,30
Prégny,LOC,30
Hannut,LOC,30
Pierlot,PER,30
Finlande,LOC,29
Nouvel An,ORG,29
O. N. U.,LOC,29
Bruxel,LOC,29
Josette,PER,29
Jésus,PER,29
Thill,PER,29
Bourse,LOC,29
Schmit,LOC,29
B. B. C.,PER,29
Nie,LOC,29
Jeanne Marchai,PER,29
Luce,LOC,29
SS,ORG,28
Gare,LOC,28
Turquie,LOC,28
Oh!,MISC,28
Assemblée Nationale,ORG,28
Gouvernements,MISC,28
Régent,LOC,28
Bach,PER,28
R. Luxembourg,PER,28
Laeken,LOC,28
Conseil d'administration,ORG,28
Bulgarie,LOC,28
champion de Belgique,MISC,28
Robert,PER,28
Marseille,LOC,28
Naissances,LOC,28
Cercle,LOC,28
Claudy,LOC,28
Ixelles,LOC,28
Conseil de l'Europe,ORG,28
lib,MISC,28
Conseil d'Etat,ORG,27
Travail,LOC,27
Irlande,LOC,27
Israël,LOC,27
Nat,LOC,27
Vatican,LOC,27
la Sarre,LOC,27
Menufontaine,PER,27
Libin,LOC,27
Joséphine-Charlotte,PER,27
nt,MISC,27
Mme,PER,27
Gros,PER,27
